class	num	num	num	num	num	comment   	
25	4	151.0	90.00	3003	20.1	amc concord	
25	4	140.0	92.00	2865	16.4	ford fairmont futura	
25	4	98.00	79.00	2255	17.7	dodge colt	
25	4	119.0	97.00	2405	14.9	datsun 200-sx	
25	4	110.0	87.00	2672	17.5	peugeot 504	
25	4	90.00	71.00	2223	16.5	volkswagen dasher	
25	6	232.0	90.00	3085	17.6	amc hornet	
25	4	122.0	80.00	2451	16.5	ford pinto	
20	6	232.0	100.0	2945	16.0	amc hornet	
20	4	114.0	91.00	2582	14.0	audi 100ls	
20	8	302.0	139.0	3205	11.2	ford futura	
20	3	80.00	110.0	2720	13.5	mazda rx-4	
20	6	232.0	112.0	2835	14.7	ford granada l	
20	6	232.0	90.00	3210	17.2	amc concord	
20	6	225.0	95.00	3264	16.0	plymouth valiant custom	
20	6	231.0	110.0	3039	15.0	buick skyhawk	
20	4	122.0	86.00	2395	16.0	ford pinto (sw)	
20	6	198.0	95.00	3102	16.5	plymouth duster	
35	4	112.0	88.00	2395	18.0	chevrolet cavalier 2-door	
35	4	91.00	69.00	2130	14.7	fiat strada custom	
35	4	97.00	78.00	2188	15.8	audi 4000	
35	4	98.00	83.00	2075	15.9	dodge colt m/m	
40	4	89.00	60.00	1968	18.8	toyota corolla tercel	
30	4	97.00	71.00	1825	12.2	volkswagen rabbit	
30	4	108.0	75.00	2350	16.8	toyota corolla	
30	4	111.0	80.00	2155	14.8	buick opel isuzu deluxe	
30	4	120.0	75.00	2542	17.5	mazda 626	
30	4	97.00	67.00	1985	16.4	subaru dl	
30	4	141.0	80.00	3230	20.4	peugeot 505s turbo diesel	
10	8	304.0	193.0	4732	18.5	hi 1200d	
45	4	86.00	65.00	2110	17.9	mazda glc	
15	8	350.0	170.0	4165	11.4	chevrolet monte carlo landau	
15	8	400.0	150.0	4464	12.0	chevrolet caprice classic	
15	8	350.0	145.0	3988	13.0	chevrolet malibu	
15	8	318.0	150.0	4096	13.0	plymouth fury iii	
15	8	350.0	145.0	4055	12.0	chevy c10	
15	8	400.0	190.0	4422	12.5	chrysler newport royal	
15	6	163.0	125.0	3140	13.6	volvo 264gl	
15	8	360.0	170.0	4654	13.0	plymouth custom suburb	
15	8	351.0	152.0	4215	12.8	ford gran torino	
