class	num	num	num	num	num	comment   	
25	4	97.00	88.00	2100	16.5	toyota corolla 1600 (sw)	
25	4	113.0	95.00	2372	15.0	toyota corona mark ii	
25	4	116.0	75.00	2246	14.0	fiat 124 tc	
25	6	146.0	120.0	2930	13.8	datsun 810 maxima	
25	4	121.0	80.00	2670	15.0	amc spirit dl	
25	4	104.0	95.00	2375	17.5	saab 99e	
25	4	151.0	85.00	2855	17.6	oldsmobile starfire sx	
25	4	119.0	97.00	2545	17.0	datsun 710	
20	4	121.0	76.00	2511	18.0	volkswagen 411 (sw)	
20	8	360.0	150.0	3940	13.0	chrysler lebaron town @ country (sw)	
20	6	200.0	85.00	3070	16.7	mercury zephyr	
20	4	122.0	85.00	2310	18.5	ford pinto	
20	6	231.0	105.0	3425	16.9	buick skylark	
20	4	140.0	72.00	2408	19.0	chevrolet vega (sw)	
20	4	120.0	88.00	3270	21.9	peugeot 504	
20	6	146.0	97.00	2815	14.5	datsun 810	
20	6	250.0	88.00	3021	16.5	ford maverick	
35	4	91.00	60.00	1800	16.4	honda civic cvcc	
35	4	91.00	53.00	1795	17.5	honda civic cvcc	
35	4	91.00	68.00	2025	18.2	mazda glc custom l	
35	4	91.00	53.00	1795	17.4	honda civic	
40	4	105.0	63.00	2125	14.7	plymouth horizon miser	
30	4	134.0	90.00	2711	15.5	toyota corona liftback	
30	4	120.0	79.00	2625	18.6	ford ranger	
30	4	97.00	75.00	2171	16.0	toyota corolla	
30	4	79.00	67.00	1950	19.0	datsun b210	
30	4	97.00	92.00	2288	17.0	datsun 510 (sw)	
30	4	97.00	78.00	1940	14.5	volkswagen rabbit custom	
10	8	400.0	167.0	4906	12.5	ford country	
15	8	302.0	140.0	3449	10.5	ford torino	
15	8	318.0	150.0	4190	13.0	dodge coronet brougham	
15	8	302.0	137.0	4042	14.5	ford gran torino	
15	8	260.0	110.0	4060	19.0	oldsmobile cutlass supreme	
15	6	250.0	105.0	3897	18.5	chevroelt chevelle malibu	
15	8	340.0	160.0	3609	8.0	plymouth 'cuda 340	
15	8	351.0	153.0	4129	13.0	ford galaxie 500	
15	8	304.0	150.0	4257	15.5	amc matador (sw)	
