class	num	num	num	num	num	comment   	
25	4	98.00	90.00	2265	15.5	fiat 124 sport coupe	
25	5	183.0	77.00	3530	20.1	mercedes benz 300d	
25	4	140.0	83.00	2639	17.0	ford pinto	
25	4	97.00	46.00	1950	21.0	volkswagen super beetle	
25	4	121.0	113.0	2234	12.5	bmw 2002	
25	4	97.00	75.00	2265	18.2	toyota corolla liftback	
25	4	151.0	88.00	2740	16.0	pontiac sunbird coupe	
25	3	70.00	100.0	2420	12.5	mazda rx-7 gs	
20	4	134.0	95.00	2515	14.8	toyota celica gt liftback	
20	8	302.0	139.0	3570	12.8	mercury monarch ghia	
20	6	250.0	105.0	3459	16.0	chevrolet nova	
20	6	232.0	100.0	2914	16.0	amc gremlin	
20	6	250.0	110.0	3520	16.4	chevrolet concours	
20	6	156.0	122.0	2807	13.5	toyota mark ii	
20	4	121.0	115.0	2795	15.7	saab 99gle	
20	8	305.0	145.0	3880	12.5	chevrolet caprice classic	
20	6	250.0	88.00	3302	15.5	ford torino 500	
20	4	120.0	87.00	2979	19.5	peugeot 504 (sw)	
35	4	98.00	66.00	1800	14.4	ford fiesta	
35	4	105.0	74.00	1980	15.3	volkswagen rabbit l	
35	4	122.0	88.00	2500	15.1	triumph tr7 coupe	
35	4	120.0	88.00	2160	14.5	nissan stanza xe	
40	4	86.00	64.00	1875	16.4	plymouth champ	
30	4	85.00	65.00	2020	19.2	datsun 210	
30	4	85.00	52.00	2035	22.2	chevrolet chevette	
30	4	89.00	62.00	1845	15.3	vokswagen rabbit	
30	4	134.0	95.00	2560	14.2	toyota corona	
30	4	146.0	67.00	3250	21.8	mercedes-benz 240d	
30	6	145.0	76.00	3160	19.6	volvo diesel	
30	4	135.0	84.00	2385	12.9	plymouth reliant	
10	8	307.0	200.0	4376	15.0	chevy c20	
10	8	318.0	210.0	4382	13.5	dodge d200	
45	4	91.00	67.00	1850	13.8	honda civic 1500 gl	
15	8	351.0	149.0	4335	14.5	ford thunderbird	
15	8	351.0	142.0	4054	14.3	ford country squire (sw)	
15	6	250.0	72.00	3432	21.0	mercury monarch	
15	8	350.0	165.0	4274	12.0	chevrolet impala	
15	8	304.0	150.0	3433	12.0	amc rebel sst	
15	8	440.0	215.0	4735	11.0	chrysler new yorker brougham	
15	8	351.0	158.0	4363	13.0	ford ltd	
15	6	258.0	110.0	3632	18.0	amc matador	
15	8	360.0	175.0	3821	11.0	amc ambassador brougham	
