class	num	num	num	num	num	comment   	
25	4	156.0	92.00	2585	14.5	chrysler lebaron medallion	
25	4	113.0	95.00	2278	15.5	toyota corona hardtop	
25	4	121.0	110.0	2660	14.0	saab 99le	
25	4	140.0	89.00	2755	15.8	ford mustang ii 2+2	
25	4	107.0	90.00	2430	14.5	audi 100 ls	
25	4	96.00	69.00	2189	18.0	renault 12 (sw)	
25	4	116.0	81.00	2220	16.9	opel 1900	
25	4	141.0	71.00	3190	24.8	peugeot 504	
20	4	122.0	86.00	2226	16.5	ford pinto runabout	
20	6	250.0	110.0	3645	16.2	pontiac ventura sj	
20	8	318.0	135.0	3830	15.2	dodge st. regis	
20	6	231.0	165.0	3445	13.4	buick regal sport coupe (turbo)	
20	6	171.0	97.00	2984	14.5	ford pinto	
20	6	156.0	108.0	2930	15.5	toyota mark ii	
20	6	200.0	95.00	3155	18.2	chevrolet malibu	
20	8	305.0	140.0	4215	13.0	chevrolet chevelle malibu classic	
20	6	225.0	100.0	3630	17.7	plymouth volare custom	
20	6	232.0	100.0	2901	16.0	amc hornet	
35	4	85.00	70.00	1945	16.8	datsun f-10 hatchback	
35	6	168.0	132.0	2910	11.4	datsun 280-zx	
35	4	107.0	75.00	2210	14.4	honda prelude	
35	5	121.0	67.00	2950	19.9	audi 5000s (diesel)	
40	4	85.00	70.00	2070	18.6	datsun b210 gx	
40	4	98.00	76.00	2144	14.7	vw rabbit	
30	4	98.00	83.00	2219	16.5	audi fox	
30	4	71.00	65.00	1773	19.0	toyota corolla 1200	
30	4	89.00	71.00	1990	14.9	volkswagen scirocco	
30	4	135.0	84.00	2295	11.6	dodge rampage	
30	4	98.00	63.00	2051	17.0	chevrolet chevette	
30	4	91.00	68.00	1970	17.6	mazda glc custom	
30	4	97.00	78.00	2190	14.1	volkswagen dasher	
10	8	383.0	180.0	4955	11.5	dodge monaco (sw)	
10	8	350.0	160.0	4456	13.5	oldsmobile delta 88 royale	
45	4	97.00	52.00	2130	24.6	vw pickup	
15	8	307.0	130.0	4098	14.0	chevrolet chevelle concours (sw)	
15	6	250.0	100.0	3329	15.5	chevrolet chevelle malibu	
15	8	455.0	225.0	4425	10.0	pontiac catalina	
15	8	302.0	130.0	3870	15.0	ford f108	
15	8	350.0	145.0	4082	13.0	chevrolet monte carlo s	
15	8	350.0	165.0	3693	11.5	buick skylark 320	
15	8	318.0	150.0	4135	13.5	plymouth fury iii	
15	8	400.0	170.0	4668	11.5	pontiac catalina	
15	8	318.0	145.0	4140	13.7	dodge monaco brougham	
