class	num	num	num	num	num	comment   	
25	4	97.00	60.00	1834	19.0	volkswagen model 111	
25	6	168.0	116.0	2900	12.6	toyota cressida	
25	4	108.0	93.00	2391	15.5	subaru	
25	4	135.0	84.00	2490	15.7	plymouth reliant	
25	4	97.00	46.00	1835	20.5	volkswagen 1131 deluxe sedan	
25	4	140.0	88.00	2870	18.1	ford fairmont	
25	6	198.0	95.00	2904	16.0	plymouth duster	
25	4	140.0	75.00	2542	17.0	chevrolet vega	
20	3	70.00	97.00	2330	13.5	mazda rx2 coupe	
20	6	250.0	88.00	3139	14.5	ford mustang	
20	6	200.0	88.00	3060	17.1	ford granada gl	
20	6	231.0	115.0	3245	15.4	pontiac lemans v6	
20	6	200.0	85.00	2587	16.0	ford maverick	
20	6	250.0	78.00	3574	21.0	ford granada ghia	
20	6	250.0	105.0	3353	14.5	chevrolet nova	
20	8	305.0	145.0	3425	13.2	chevrolet monte carlo landau	
20	6	225.0	95.00	3785	19.0	plymouth fury	
35	4	85.00	65.00	1975	19.4	datsun 210 mpg	
35	4	119.0	92.00	2434	15.0	datsun 510 hatchback	
35	4	135.0	84.00	2370	13.0	dodge charger 2.2	
35	4	105.0	63.00	2215	14.9	plymouth horizon 4	
40	4	89.00	62.00	2050	17.3	toyota tercel	
30	4	90.00	70.00	1937	14.0	volkswagen rabbit	
30	4	105.0	75.00	2230	14.5	dodge omni	
30	4	135.0	84.00	2525	16.0	dodge aries se	
30	4	116.0	90.00	2123	14.0	opel 1900	
30	4	98.00	68.00	2045	18.5	honda accord cvcc	
30	4	119.0	82.00	2720	19.4	chevy s-10	
10	8	429.0	208.0	4633	11.0	mercury marquis	
15	8	318.0	150.0	3755	14.0	dodge d100	
15	8	350.0	145.0	4440	14.0	chevrolet bel air	
15	8	351.0	153.0	4154	13.5	ford galaxie 500	
15	8	304.0	120.0	3962	13.9	amc matador	
15	8	400.0	180.0	4220	11.1	pontiac grand prix lj	
15	6	250.0	72.00	3158	19.5	ford maverick	
15	8	318.0	150.0	4457	13.5	dodge coronet custom (sw)	
15	8	429.0	198.0	4341	10.0	ford galaxie 500	
