class	num	num	num	num	num	comment   	
25	6	173.0	115.0	2700	12.9	oldsmobile omega brougham	
25	4	97.00	88.00	2130	14.5	datsun pl510	
25	4	98.00	60.00	2164	22.1	chevrolet woody	
25	4	90.00	75.00	2108	15.5	fiat 128	
25	4	97.00	78.00	2300	14.5	opel manta	
25	4	120.0	97.00	2489	15.0	honda civic	
25	4	122.0	86.00	2220	14.0	mercury capri 2000	
25	4	151.0	90.00	2950	17.3	chevrolet camaro	
20	6	199.0	90.00	2648	15.0	amc gremlin	
20	6	225.0	105.0	3121	16.5	plymouth valiant	
20	4	140.0	72.00	2401	19.5	chevrolet vega	
20	6	200.0	85.00	2990	18.2	mercury zephyr 6	
20	8	307.0	130.0	3504	12.0	chevrolet chevelle malibu	
20	8	302.0	129.0	3725	13.4	ford ltd landau	
20	6	225.0	90.00	3381	18.7	dodge aspen	
20	8	318.0	150.0	3436	11.0	plymouth satellite	
20	6	232.0	100.0	2634	13.0	amc gremlin	
35	4	105.0	70.00	2200	13.2	plymouth horizon	
35	4	98.00	65.00	2045	16.2	ford escort 4w	
35	4	79.00	58.00	1825	18.6	renault 5 gtl	
40	6	262.0	85.00	3015	17.0	oldsmobile cutlass ciera (diesel)	
30	4	151.0	90.00	2678	16.5	chevrolet citation	
30	4	89.00	71.00	1925	14.0	vw rabbit custom	
30	4	120.0	74.00	2635	18.3	mazda 626	
30	4	85.00	70.00	1990	17.0	datsun b-210	
30	4	98.00	68.00	2135	16.6	honda accord lx	
30	4	76.00	52.00	1649	16.5	toyota corona	
10	8	400.0	150.0	4997	14.0	chevrolet impala	
15	8	350.0	155.0	4502	13.5	buick lesabre custom	
15	6	168.0	120.0	3820	16.7	mercedes-benz 280s	
15	8	302.0	140.0	4294	16.0	ford gran torino (sw)	
15	8	318.0	150.0	3399	11.0	dodge dart custom	
15	6	163.0	133.0	3410	15.8	peugeot 604sl	
15	8	400.0	170.0	4746	12.0	ford country squire (sw)	
15	6	250.0	100.0	3781	17.0	chevrolet chevelle malibu classic	
15	8	400.0	175.0	4385	12.0	pontiac catalina	
