class	num	num	num	num	num	comment   	
25	4	97.00	54.00	2254	23.5	volkswagen type 3	
25	4	116.0	75.00	2158	15.5	opel manta	
25	8	260.0	90.00	3420	22.2	oldsmobile cutlass salon brougham	
25	4	151.0	90.00	2735	18.0	pontiac phoenix	
25	4	119.0	97.00	2300	14.7	datsun 510	
25	4	91.00	70.00	1955	20.5	plymouth cricket	
25	4	79.00	67.00	1963	15.5	volkswagen dasher	
25	4	140.0	88.00	2720	15.4	ford fairmont (man)	
20	6	258.0	120.0	3410	15.1	amc concord d/l	
20	6	200.0	85.00	2965	15.8	ford fairmont (auto)	
20	6	225.0	85.00	3465	16.6	chrysler lebaron salon	
20	6	231.0	105.0	3380	15.8	buick century special	
20	8	260.0	110.0	3365	15.5	oldsmobile cutlass salon brougham	
20	4	121.0	112.0	2933	14.5	volvo 145e (sw)	
20	4	121.0	110.0	2600	12.8	bmw 320i	
20	3	70.00	90.00	2124	13.5	maxda rx3	
20	6	232.0	90.00	3211	17.0	amc pacer	
20	6	198.0	95.00	2833	15.5	plymouth duster	
35	4	86.00	65.00	2019	16.4	datsun 310	
35	4	86.00	65.00	1975	15.2	maxda glc deluxe	
35	4	91.00	68.00	1985	16.0	mazda glc 4	
35	4	98.00	80.00	1915	14.4	dodge colt hatchback custom	
40	4	91.00	67.00	1995	16.2	datsun 310 gx	
30	6	173.0	115.0	2595	11.3	chevrolet citation	
30	4	71.00	65.00	1836	21.0	toyota corolla 1200	
30	4	98.00	65.00	2380	20.7	ford escort 2h	
30	4	88.00	76.00	2065	14.5	fiat 124b	
30	4	98.00	68.00	2155	16.5	chevrolet chevette	
30	4	98.00	70.00	2120	15.5	chevrolet chevette	
30	4	97.00	67.00	2065	17.8	subaru	
10	8	455.0	225.0	4951	11.0	buick electra 225 custom	
10	8	429.0	198.0	4952	11.5	mercury marquis brougham	
45	4	90.00	48.00	2085	21.7	vw rabbit c (diesel)	
15	8	454.0	220.0	4354	9.0	chevrolet impala	
15	8	400.0	230.0	4278	9.50	pontiac grand prix	
15	8	302.0	140.0	4638	16.0	ford gran torino (sw)	
15	8	351.0	148.0	4657	13.5	ford ltd	
15	8	350.0	180.0	4380	12.1	cadillac seville	
15	8	400.0	175.0	4464	11.5	pontiac catalina brougham	
15	8	350.0	175.0	4100	13.0	buick century 350	
15	8	318.0	150.0	4077	14.0	plymouth satellite custom (sw)	
15	6	250.0	100.0	3278	18.0	chevrolet nova custom	
