class	num	num	num	num	num	comment   	
25	6	173.0	110.0	2725	12.6	chevrolet citation	
25	4	121.0	115.0	2671	13.5	saab 99le	
25	4	113.0	95.00	2228	14.0	toyota corona	
25	4	156.0	92.00	2620	14.4	dodge aries wagon (sw)	
25	6	200.0	81.00	3012	17.6	ford maverick	
25	4	151.0	84.00	2635	16.4	buick skylark	
25	4	97.00	88.00	2130	14.5	datsun pl510	
25	8	350.0	105.0	3725	19.0	oldsmobile cutlass ls	
20	6	225.0	105.0	3613	16.5	plymouth satellite sebring	
20	6	250.0	98.00	3525	19.0	ford granada	
20	6	232.0	100.0	2789	15.0	amc gremlin	
20	4	121.0	112.0	2868	15.5	volvo 144ea	
20	6	199.0	97.00	2774	15.5	amc hornet	
20	6	225.0	100.0	3430	17.2	plymouth volare	
20	6	232.0	100.0	3288	15.5	amc matador	
20	4	140.0	90.00	2408	19.5	chevrolet vega	
20	6	225.0	110.0	3620	18.7	dodge aspen	
20	6	232.0	90.00	3265	18.2	amc concord dl 6	
35	4	78.00	52.00	1985	19.4	mazda glc deluxe	
35	4	72.00	69.00	1613	18.0	datsun 1200	
35	4	119.0	100.0	2615	14.8	datsun 200sx	
35	4	107.0	75.00	2205	14.5	honda accord	
40	4	79.00	58.00	1755	16.9	toyota starlet	
30	4	91.00	67.00	1965	15.7	honda civic (auto)	
30	4	79.00	67.00	2000	16.0	fiat x1.9	
30	4	90.00	70.00	1937	14.2	vw rabbit	
30	4	83.00	61.00	2003	19.0	datsun 710	
30	4	108.0	75.00	2265	15.2	toyota corolla	
30	4	79.00	70.00	2074	19.5	peugeot 304	
10	8	350.0	180.0	3664	11.0	oldsmobile omega	
45	4	90.00	48.00	2335	23.7	vw dasher (diesel)	
15	6	258.0	110.0	3730	19.0	amc matador	
15	8	350.0	150.0	4699	14.5	buick century luxus (sw)	
15	8	400.0	175.0	5140	12.0	pontiac safari (sw)	
15	6	250.0	100.0	3336	17.0	chevrolet nova	
15	8	350.0	165.0	4209	12.0	chevrolet impala	
15	8	318.0	150.0	3940	13.2	plymouth volare premier v8	
15	8	302.0	130.0	4295	14.9	mercury cougar brougham	
15	8	400.0	190.0	4325	12.2	chrysler cordoba	
15	8	318.0	150.0	3777	12.5	dodge coronet custom	
